type,name,brand,model,year,engine (l),run (km),price
Car,Daewoo Gentra,Daewoo,Gentra,2014,1.5,184000,11800
Car,Hyundai Santa Fe,Hyundai,Santa Fe,2010,3.5,25000,25000
Car,Kia Sorento,Kia,Sorento,2016,2,158000,40700
Car,Land Rover Range Rover,Land Rover,Range Rover,2019,3,100000,118660
Car,Li Auto L7,Li Auto,L7,2024,1.5,0,83300
Car,Mercedes C 240,Mercedes,C 240,1997,2.4,350000,9300
Car,Opel Zafira,Opel,Zafira,2006,1.6,335935,9000
Car,Toyota Prius,Toyota,Prius,2012,1.8,235769,18700
Car,ZAZ Slavuta,ZAZ,Slavuta,2005,1.2,230754,1200
Car,BMW 530,BMW,530,2018,2,40000,50830
Car,Kia K7,Kia,K7,2016,2.2,163000,38500
Car,Kia Optima,Kia,Optima,2013,2,158000,20500
Car,LADA (VAZ) 2107,LADA (VAZ),2107,2005,1.6,99000,4500
Car,Nissan March,Nissan,March,2015,1.2,32500,15500
Car,Opel Astra,Opel,Astra,1999,1.6,377400,7700
Car,Opel Astra,Opel,Astra,2009,1.4,257777,10500
Car,Opel Astra,Opel,Astra,2006,1.4,180000,10500
Car,Volkswagen Passat,Volkswagen,Passat,2004,1.8,235600,7300
Car,Changan Uni-Z,Changan,Uni-Z,2024,1.5,0,33830
Car,Ford Transit,Ford,Transit,2006,2.4,643000,13100
Car,Hyundai Atos,Hyundai,Atos,2007,1.1,115000,6500
Car,Hyundai Sonata,Hyundai,Sonata,2004,2,444440,6600
Car,LADA (VAZ) 2107,LADA (VAZ),2107,2009,1.6,92456,6200
Car,Land Rover Discovery,Land Rover,Discovery,2014,3,200000,51000
Car,Mercedes C 250,Mercedes,C 250,2013,1.8,241080,22900
Car,Nissan March,Nissan,March,2016,1.2,35500,15800
Car,Ford Fusion (North America),Ford,Fusion (North America),2019,1.5,102000,25300
Car,Hyundai Grandeur,Hyundai,Grandeur,2015,2.2,156000,29900
Car,Hyundai Palisade,Hyundai,Palisade,2019,2.2,115000,74630
Car,Mercedes S 500,Mercedes,S 500,2007,5.5,229000,34000
Car,Toyota Sienta,Toyota,Sienta,2017,1.5,85000,26300
Car,Mercedes C 180,Mercedes,C 180,1998,1.8,447000,11000
Car,Mercedes C 200,Mercedes,C 200,1995,2,293811,8800
Car,Mercedes C 220 d,Mercedes,C 220 d,2000,2.2,361996,13500
Car,Mercedes E 240,Mercedes,E 240,2000,2.4,363000,13700
Car,Mercedes E 300 de,Mercedes,E 300 de,2021,2,84000,97750
Car,Mercedes E 300 e,Mercedes,E 300 e,2021,2,14950,79050
Car,Toyota Vitz,Toyota,Vitz,2018,1.5,29000,22500
Truck,UAZ 3303,UAZ,3303,1989,2.5,100000,8500
Car,BMW 428,BMW,428,2013,2,105000,38930
Car,BMW X5,BMW,X5,2019,3,40000,123930
Car,BMW X7,BMW,X7,2020,3,95000,149430
Car,Hyundai i30,Hyundai,i30,2007,1.4,205000,16200
Car,Hyundai Sonata,Hyundai,Sonata,2010,2.4,168000,19800
Car,Hyundai Sonata,Hyundai,Sonata,2009,2,259000,17400
Car,Land Rover Range Rover,Land Rover,Range Rover,2016,3,160000,84830
